,"St. John's, Newfoundland and Labrador","Charlottetown, Prince Edward Island","Halifax, Nova Scotia","Saint John, New Brunswick","Québec, Quebec","Montréal, Quebec","Ottawa, Ontario","Toronto, Ontario","Thunder Bay, Ontario","Winnipeg, Manitoba","Regina, Saskatchewan","Saskatoon, Saskatchewan","Edmonton, Alberta","Calgary, Alberta","Vancouver, British Columbia","Victoria, British Columbia","Whitehorse, Yukon","Yellowknife, Northwest Territories"
1990-01-01,109.61,103.72,111.7,106.57,110.75,112.08,106.38,92.13,107.14,98.4,96.88,104.86,91.75,90.99,109.42,104.48,108.28,111.89
1990-02-01,109.84,103.42,110.97,105.88,111.16,111.35,106.07,95.88,106.63,97.76,96.25,104.18,91.35,92.29,110.78,107.01,108.33,111.73
1990-03-01,109.98,103.4,110.54,105.47,111.86,112.24,105.84,99.83,106.22,99.26,103.21,103.78,91.93,93.44,110.36,106.6,108.29,112.05
1990-04-01,111.48,106.03,110.54,105.47,113.36,113.74,106.22,97.2,109.98,97.57,103.21,103.78,96.07,97.57,112.61,108.85,109.04,112.8
1990-05-01,111.85,106.24,109.98,104.93,112.97,113.53,105.67,100.81,109.23,99.5,102.68,103.24,98.94,97.07,112.03,109.42,108.29,112.97
1990-06-01,111.23,106.95,109.55,104.52,114.59,114.59,106.01,102.85,107.88,98.93,102.29,102.85,98.56,99.49,111.6,109.0,107.88,112.54
1990-07-01,110.44,108.58,109.14,104.12,113.78,114.52,106.54,103.75,107.09,92.62,103.75,104.12,98.0,98.37,111.92,109.14,107.47,114.33
1990-08-01,110.48,108.63,109.0,103.99,113.82,114.37,106.22,103.62,106.96,99.91,101.4,104.18,98.06,98.99,111.96,109.55,107.33,114.37
1990-09-01,113.53,108.35,108.72,103.73,115.75,116.3,108.54,104.47,109.09,102.43,100.03,106.69,100.58,101.51,113.34,113.34,109.27,116.67
1990-10-01,120.78,107.58,107.76,102.81,122.24,123.16,114.91,110.15,115.09,113.44,107.58,116.74,111.25,112.53,118.94,116.38,118.03,128.66
1990-11-01,122.57,106.91,107.09,102.17,123.48,125.3,120.02,117.11,121.3,115.47,97.25,115.65,113.28,114.37,127.31,122.93,120.75,132.59
1990-12-01,128.92,119.08,107.22,102.3,128.74,129.11,120.17,113.24,120.72,118.16,105.58,122.36,106.13,110.51,120.17,123.09,121.99,135.49
1991-01-01,130.6,128.82,104.48,99.68,128.46,128.46,117.8,100.04,116.92,114.43,98.26,120.29,112.65,112.83,119.76,123.13,125.09,136.11
1991-02-01,122.78,127.4,104.48,99.68,119.76,119.4,111.05,91.86,111.05,101.1,81.91,101.81,76.94,79.78,109.81,117.09,121.18,134.33
1991-03-01,114.72,120.38,104.1,99.32,112.24,111.71,103.74,92.94,105.16,90.29,79.31,91.7,81.97,80.55,97.37,104.98,112.95,128.88
1991-04-01,109.58,113.3,104.1,99.32,109.23,109.41,98.43,88.87,100.56,85.51,79.49,87.1,77.36,75.77,96.66,99.85,108.52,116.31
1991-05-01,108.88,107.12,103.59,98.84,109.41,109.05,100.77,95.84,100.77,88.62,85.45,92.32,90.03,86.86,102.01,99.36,106.59,113.28
1991-06-01,108.35,105.9,103.09,98.36,110.81,110.46,103.09,100.64,101.69,84.51,69.26,76.97,83.98,85.56,95.91,98.89,105.72,112.39
1991-07-01,108.22,104.37,102.97,98.24,110.68,110.33,104.9,99.64,101.57,94.39,92.11,94.21,91.59,92.64,97.72,95.44,105.6,108.92
1991-08-01,108.27,104.07,102.85,98.12,111.07,111.07,104.6,96.03,100.4,95.5,87.8,93.23,94.1,94.63,102.5,96.38,105.12,108.97
1991-09-01,108.35,105.55,103.09,98.36,115.72,116.24,104.15,97.48,102.04,94.33,77.85,88.02,89.59,96.26,103.8,99.59,105.37,107.83
1991-10-01,108.49,107.26,103.22,98.48,115.86,116.38,103.39,90.23,102.17,82.15,83.21,84.44,88.3,89.35,102.17,99.71,105.5,108.31
1991-11-01,108.09,106.87,102.85,98.12,110.72,109.84,99.35,93.05,100.57,94.63,84.83,94.28,83.26,85.18,102.67,99.35,105.12,109.67
1991-12-01,108.62,107.56,103.34,98.6,103.52,106.33,99.83,90.16,99.48,91.04,82.08,90.16,82.08,87.17,90.86,97.19,105.45,111.25
1992-01-01,108.35,107.83,103.09,98.36,112.74,110.81,101.52,91.0,102.39,87.49,88.19,91.0,85.74,80.83,98.54,95.56,105.02,112.04
1992-02-01,108.22,107.7,102.97,98.24,108.57,103.67,100.52,85.81,100.87,80.38,80.91,83.88,73.2,77.05,90.54,93.69,104.9,111.9
1992-03-01,107.01,106.66,102.48,97.77,98.47,98.99,98.64,84.7,97.77,73.9,78.6,80.0,81.39,82.26,87.84,88.36,105.09,111.37
1992-04-01,106.01,104.62,102.36,97.66,104.62,104.79,99.05,84.95,97.48,81.47,74.16,79.9,76.24,74.5,90.87,87.56,104.27,111.23
1992-05-01,105.76,104.72,101.94,97.42,106.8,104.02,98.81,89.43,97.25,75.72,90.3,89.78,80.06,80.4,90.82,90.65,104.02,110.97
1992-06-01,105.51,104.12,101.87,97.19,108.63,106.37,101.7,91.99,98.75,86.45,83.16,91.65,86.28,82.98,91.3,86.62,101.7,110.7
1992-07-01,105.68,104.12,101.87,97.19,108.97,106.72,100.83,98.06,100.31,92.51,83.5,91.3,87.49,89.91,98.58,94.94,101.7,112.09
1992-08-01,105.55,105.38,100.71,97.08,107.46,105.04,100.19,93.96,100.19,93.27,85.31,89.81,85.14,82.19,95.17,92.92,100.19,111.96
1992-09-01,105.43,105.08,100.24,96.96,105.78,104.74,99.73,91.78,99.03,91.08,86.42,92.47,83.83,78.99,92.81,83.83,98.69,111.82
1992-10-01,103.41,105.13,99.78,96.85,103.23,101.68,98.05,93.39,97.88,84.07,90.8,93.05,80.62,79.24,92.88,88.9,97.19,111.86
1992-11-01,102.42,105.01,98.8,96.73,102.77,102.59,97.25,95.7,100.01,91.9,92.77,92.94,85.18,82.76,94.66,91.21,97.08,111.73
1992-12-01,101.84,104.76,96.33,95.13,103.9,104.42,96.33,90.31,99.6,92.72,94.61,97.88,84.98,78.96,95.99,91.34,97.19,112.16
1993-01-01,97.99,101.08,89.58,93.7,102.11,100.91,95.59,91.13,99.36,92.5,97.48,97.65,84.78,85.64,95.42,92.5,97.99,111.89
1993-02-01,97.65,100.72,87.04,93.2,99.01,98.5,94.06,90.12,98.33,92.17,90.29,96.96,76.44,80.89,93.88,90.29,97.65,111.5
1993-03-01,96.45,100.72,84.14,93.2,99.87,99.36,93.37,87.04,96.45,88.75,83.79,93.88,80.55,76.95,91.49,87.56,97.65,111.5
1993-04-01,96.34,96.34,84.72,92.92,99.58,98.22,93.09,87.62,95.14,89.5,87.97,97.19,78.4,78.74,92.75,85.92,97.53,111.37
1993-05-01,97.93,95.37,87.52,93.32,100.83,100.15,92.3,88.72,96.39,90.42,91.96,97.08,74.04,81.72,91.62,86.33,97.42,111.24
1993-06-01,99.64,94.86,88.38,93.49,104.07,104.75,95.37,91.11,99.81,90.25,91.62,97.08,82.4,81.72,92.98,88.2,97.42,111.24
1993-07-01,101.39,95.77,91.34,94.92,104.8,101.9,93.9,85.2,97.99,90.15,91.51,96.79,77.88,81.63,94.24,82.14,100.2,111.11
1993-08-01,98.61,95.55,88.07,94.36,102.86,94.53,90.79,85.35,96.74,89.77,91.64,95.72,78.38,81.44,94.19,85.69,100.65,110.85
1993-09-01,98.15,95.44,87.11,93.91,100.87,97.13,94.93,88.3,95.27,86.44,91.53,87.11,76.93,81.34,95.77,89.66,100.53,110.72
1993-10-01,95.72,95.04,87.42,92.33,98.6,93.86,90.81,86.74,94.03,86.06,91.49,93.01,78.95,79.97,95.55,85.39,100.3,110.46
1993-11-01,92.56,94.93,80.55,92.23,98.49,95.27,89.01,83.93,93.58,84.44,92.9,92.9,71.07,79.03,91.21,85.46,100.18,110.33
1993-12-01,91.55,94.76,80.21,91.21,95.61,89.52,85.46,80.04,92.4,84.44,92.9,92.9,74.12,77.84,89.86,83.26,97.98,110.33
1994-01-01,90.13,89.45,82.17,85.22,91.49,86.74,83.35,78.27,91.32,82.85,91.32,85.9,71.49,73.36,85.9,82.51,93.69,109.61
1994-02-01,91.38,89.85,79.08,85.92,92.75,90.87,85.23,83.53,94.12,83.53,90.36,89.5,70.71,72.94,88.65,79.43,97.19,110.51
1994-03-01,95.48,89.85,83.01,85.92,94.12,93.43,87.11,83.01,92.24,83.53,90.36,90.36,68.15,69.18,90.36,81.13,97.19,110.51
1994-04-01,96.85,90.53,82.67,86.43,95.65,93.94,88.48,84.38,92.07,84.21,91.04,90.87,78.74,78.4,89.33,87.62,97.19,110.51
1994-05-01,101.75,92.17,91.83,93.88,97.65,90.29,89.1,86.36,94.23,85.68,92.17,92.17,78.49,80.55,95.59,90.46,93.88,110.64
1994-06-01,101.8,92.07,91.55,93.77,101.12,98.73,91.55,88.14,98.22,88.65,97.19,97.19,81.48,82.84,97.19,87.62,97.19,110.51
1994-07-01,101.45,93.62,92.59,93.45,101.45,96.0,93.96,89.87,97.87,93.45,96.85,96.85,81.87,84.59,97.53,93.11,96.85,113.19
1994-08-01,101.21,95.27,94.25,93.23,103.08,101.38,95.44,88.98,101.04,93.74,99.17,99.68,83.55,87.45,100.02,89.49,99.34,112.93
1994-09-01,101.43,96.51,94.14,94.82,97.87,97.36,91.25,84.64,100.92,95.66,101.6,100.24,84.98,89.73,98.21,87.86,103.3,112.79
1994-10-01,104.94,98.32,88.98,94.93,90.85,89.66,87.79,82.87,99.17,93.23,96.79,95.27,76.42,84.74,98.32,94.93,103.42,113.61
1994-11-01,104.58,97.81,91.38,94.6,97.47,96.96,91.38,86.47,94.26,92.73,96.29,97.98,71.92,83.43,97.81,94.43,103.06,113.21
1994-12-01,104.22,97.13,88.53,92.24,94.27,90.39,87.69,80.78,91.74,89.21,92.58,93.25,77.91,80.94,95.78,89.04,102.7,112.65
1995-01-01,101.79,96.91,86.48,90.68,93.88,92.53,87.99,82.1,87.15,89.0,92.37,92.03,75.71,79.92,94.72,83.45,100.44,112.39
1995-02-01,100.65,96.46,84.91,90.27,95.46,92.28,88.93,84.41,87.75,88.42,93.62,87.92,76.53,81.22,91.61,84.91,100.99,111.87
1995-03-01,102.76,99.08,92.07,93.23,96.91,90.39,89.89,83.38,92.9,90.73,95.57,96.08,80.03,83.88,97.08,85.38,104.1,113.62
1995-04-01,102.52,98.69,89.52,92.85,100.36,97.36,93.02,87.19,96.02,90.69,96.69,97.52,84.85,86.35,98.52,92.35,103.52,113.36
1995-05-01,109.48,99.02,96.36,98.02,102.84,101.18,96.36,93.53,101.01,97.19,101.67,103.83,87.05,91.04,99.51,93.87,103.17,115.8
1995-06-01,109.48,99.85,95.2,98.02,102.34,97.19,94.36,94.7,104.17,94.7,101.34,100.01,81.9,89.21,99.51,92.7,107.82,119.28
1995-07-01,109.36,100.4,94.92,97.91,95.42,95.58,90.44,90.11,98.41,94.26,97.74,101.39,82.47,84.8,99.4,93.93,107.7,119.81
1995-08-01,107.49,100.35,91.21,95.69,90.88,94.03,89.88,85.23,96.03,91.21,97.85,99.51,76.26,81.24,99.51,93.87,107.82,119.28
1995-09-01,104.38,99.9,84.96,91.1,95.58,96.41,91.27,88.61,93.43,89.61,94.42,96.08,77.83,80.65,97.74,93.76,107.7,119.15
1995-10-01,103.88,99.73,88.95,90.27,94.59,89.28,88.78,86.62,96.25,89.44,94.42,93.43,76.67,82.81,96.91,93.76,107.7,119.15
1995-11-01,100.95,98.13,89.18,89.34,94.15,90.34,78.57,83.21,92.33,88.35,89.34,92.66,76.41,80.72,96.64,93.65,107.58,119.01
1995-12-01,100.95,95.81,90.34,91.33,99.12,98.46,85.53,86.36,85.7,87.69,92.66,94.15,74.26,76.41,95.81,93.65,107.58,119.01
1996-01-01,100.83,95.53,90.23,88.58,95.7,99.51,85.1,87.75,93.71,87.59,90.07,93.88,71.86,77.32,89.74,91.06,108.12,118.88
1996-02-01,98.9,95.42,88.15,83.85,96.25,97.41,86.0,85.67,91.46,87.49,92.45,94.1,72.6,78.22,92.28,90.79,104.35,118.74
1996-03-01,97.3,96.15,77.71,85.44,94.17,97.96,86.93,90.88,94.01,92.03,95.32,97.96,82.97,82.81,93.18,89.89,101.91,118.21
1996-04-01,101.51,97.24,85.58,90.18,101.84,97.74,93.96,95.27,102.99,93.46,96.75,101.35,83.61,88.21,98.72,96.42,106.61,117.94
1996-05-01,104.73,97.52,99.81,92.44,112.1,110.63,97.19,97.68,106.53,97.84,99.15,103.09,86.53,89.81,105.87,101.45,111.28,121.44
1996-06-01,104.4,98.01,93.42,91.12,107.51,104.73,90.8,92.76,104.89,94.73,96.53,101.45,80.96,87.85,106.2,100.96,111.28,121.44
1996-07-01,92.44,96.37,85.22,86.37,91.29,94.4,89.32,91.45,102.6,93.75,96.53,100.3,82.44,86.7,98.66,98.17,111.28,120.79
1996-08-01,94.79,96.1,82.67,92.49,96.75,95.61,88.73,91.02,100.19,92.99,96.42,98.06,81.53,85.95,98.22,91.68,111.16,120.65
1996-09-01,102.86,95.99,89.12,90.59,95.17,93.86,91.25,92.23,98.61,94.68,101.22,102.37,85.52,87.16,100.24,97.3,111.03,120.52
1996-10-01,102.51,95.67,94.2,93.71,100.72,100.39,90.13,92.41,100.72,94.36,100.88,102.51,81.81,84.26,97.79,96.97,113.92,120.76
1996-11-01,102.17,99.73,95.83,95.35,101.03,97.3,91.61,93.56,103.63,91.94,98.27,100.54,80.57,82.84,93.4,94.05,113.54,120.2
1996-12-01,104.7,99.19,94.65,93.84,99.67,101.29,91.41,92.7,103.4,97.08,101.29,100.32,84.28,84.92,90.6,88.98,112.8,119.93
1997-01-01,104.58,101.5,93.73,94.7,102.48,102.15,92.6,91.79,103.12,94.06,95.68,100.53,82.89,85.48,93.9,91.31,107.49,119.8
1997-02-01,104.46,101.39,93.63,95.09,104.46,103.82,91.85,92.98,103.01,95.41,97.03,101.07,87.32,88.94,97.35,96.86,106.89,119.5
1997-03-01,104.35,101.93,93.53,94.82,101.28,99.18,91.59,90.94,102.89,94.66,99.83,99.99,86.1,87.55,96.92,96.27,108.39,119.37
1997-04-01,112.26,102.57,99.34,101.44,97.08,97.4,87.06,89.81,102.25,90.62,98.37,99.02,83.83,85.45,94.82,95.14,110.32,119.37
1997-05-01,111.46,99.99,97.89,98.37,98.05,97.73,87.55,90.78,99.83,93.53,95.14,96.59,84.48,85.61,99.02,95.14,110.32,119.69
1997-06-01,111.33,97.29,96.65,94.87,95.84,99.23,85.68,89.71,104.39,95.52,103.1,99.88,86.97,88.26,94.23,93.91,110.2,119.56
1997-07-01,111.05,95.09,95.58,94.61,93.32,96.22,86.71,87.52,95.9,91.55,99.77,98.15,85.1,86.87,86.87,91.06,110.08,119.43
1997-08-01,110.8,94.88,99.55,94.4,100.99,102.92,95.69,95.53,103.41,90.38,96.33,97.94,84.27,86.68,97.13,95.04,109.84,119.17
1997-09-01,110.8,94.08,104.37,105.66,102.44,106.94,96.01,91.83,104.85,94.72,96.33,97.94,83.46,86.36,98.9,100.51,109.84,119.17
1997-10-01,109.84,94.08,100.03,98.42,99.38,101.96,90.7,91.67,100.03,93.27,94.72,94.72,83.46,85.07,97.78,100.51,109.84,118.2
1997-11-01,109.32,95.47,99.33,96.11,95.79,94.83,88.55,88.71,96.44,90.0,93.22,93.22,80.34,81.95,93.05,95.15,109.96,118.33
1997-12-01,109.19,95.2,99.22,95.85,95.36,96.17,89.9,85.07,95.53,86.36,91.5,93.11,80.25,80.25,88.45,91.02,109.84,118.36
1998-01-01,108.12,96.44,96.44,95.32,91.48,96.6,89.56,82.21,91.64,85.88,90.2,92.12,77.57,78.05,86.04,85.08,109.24,117.71
1998-02-01,107.0,95.64,95.48,93.4,92.44,93.72,84.29,83.81,89.24,81.41,88.92,90.52,75.01,76.61,83.65,83.65,108.6,115.79
1998-03-01,103.48,90.84,91.96,89.72,87.0,86.2,80.93,80.45,84.93,84.29,87.48,89.4,73.41,76.29,81.25,77.25,108.6,115.15
1998-04-01,102.31,89.98,90.78,83.9,86.78,90.78,82.3,81.5,87.42,83.1,86.3,91.1,77.81,79.89,83.1,84.06,106.79,115.12
1998-05-01,102.2,83.65,90.68,87.8,89.4,92.44,85.72,83.49,84.45,86.2,91.0,91.0,78.21,78.69,87.32,87.64,104.12,114.99
1998-06-01,102.09,83.55,90.58,87.23,88.35,90.9,82.44,84.51,91.06,86.11,90.9,90.9,77.96,81.32,84.99,84.35,106.88,114.87
1998-07-01,102.09,83.87,90.58,86.75,85.63,90.9,82.12,81.8,85.47,86.11,90.9,90.9,75.89,78.12,84.67,83.55,107.52,114.87
1998-08-01,101.97,83.14,90.48,84.1,85.54,87.13,80.91,82.03,83.94,86.02,86.33,90.8,75.16,78.04,76.92,84.9,106.76,114.74
1998-09-01,102.2,80.13,90.68,84.77,88.92,87.48,76.45,82.69,86.2,86.2,85.24,91.0,74.69,78.21,71.65,85.72,106.68,114.99
1998-10-01,101.64,79.05,90.19,90.51,90.03,89.55,81.28,84.94,84.46,85.73,89.87,90.19,73.01,76.51,79.53,85.26,105.78,114.36
1998-11-01,101.64,80.8,90.19,90.19,89.07,88.44,81.28,83.03,87.17,85.73,90.51,88.92,72.69,77.78,75.24,85.57,105.78,114.36
1998-12-01,98.62,80.8,85.89,86.85,82.39,83.98,76.51,78.26,79.53,84.46,88.6,88.76,69.51,76.83,74.6,83.03,104.5,114.36
1999-01-01,94.59,78.88,83.96,78.72,86.02,88.56,77.45,79.67,80.47,83.64,87.61,86.82,68.09,74.75,72.37,79.2,104.12,111.42
1999-02-01,93.48,78.72,82.37,80.79,85.23,82.85,74.6,77.14,78.09,81.74,86.34,83.96,68.09,72.85,71.42,79.2,96.66,110.94
1999-03-01,93.28,76.02,82.19,79.5,89.8,91.85,81.09,82.99,81.56,79.18,85.36,83.78,70.0,73.17,73.96,80.61,96.13,110.7
1999-04-01,98.45,75.45,90.26,91.04,95.61,96.4,86.0,87.42,84.11,86.47,91.2,91.2,77.02,77.34,87.26,92.62,100.34,110.1
1999-05-01,103.69,76.94,94.25,92.68,94.41,97.24,81.35,87.95,89.37,88.9,93.62,93.62,81.66,81.66,86.54,94.09,103.69,109.98
1999-06-01,100.54,77.73,94.25,93.3,90.0,95.35,83.55,83.86,86.85,88.9,93.62,91.1,80.25,81.19,88.11,94.41,106.21,116.28
1999-07-01,101.58,82.58,93.42,94.67,96.71,100.17,86.2,88.86,93.57,89.18,94.67,94.67,80.86,82.9,92.48,98.44,106.29,116.03
1999-08-01,107.71,83.95,102.71,100.52,107.09,105.21,97.55,97.55,95.52,94.74,100.52,99.58,86.45,88.8,88.17,98.02,109.12,115.53
1999-09-01,109.24,87.73,104.87,101.29,99.26,107.68,96.77,99.11,101.6,97.39,102.69,101.13,89.45,91.32,96.77,101.13,109.39,121.39
1999-10-01,113.48,88.26,104.14,99.94,107.25,108.5,96.2,98.38,99.16,97.13,102.43,101.02,89.66,91.06,91.22,101.02,111.92,121.26
1999-11-01,111.8,95.16,104.03,97.5,104.03,105.43,95.94,98.12,97.96,93.92,98.58,98.74,86.46,86.77,88.48,98.74,111.65,121.13
1999-12-01,117.65,94.86,107.42,103.23,101.37,107.26,99.98,100.6,104.16,96.87,102.15,100.6,88.97,89.12,84.79,97.65,111.29,120.75
2000-01-01,116.1,98.11,107.88,98.89,99.2,106.64,97.19,98.42,100.9,95.95,101.06,99.98,88.2,88.35,93.31,100.13,114.39,120.75
2000-02-01,118.2,97.8,109.39,105.99,107.23,114.03,99.97,103.67,103.21,98.58,102.44,103.37,89.15,89.92,87.61,100.27,114.64,121.91
2000-03-01,127.1,100.51,117.88,113.12,113.73,120.8,110.66,112.35,113.89,105.74,109.74,110.2,98.52,98.52,102.82,109.58,116.04,128.95
2000-04-01,123.01,101.25,112.52,109.74,104.34,110.66,98.93,103.26,107.11,101.25,109.74,108.5,96.46,95.08,100.63,108.97,121.78,132.58
2000-05-01,123.39,104.93,114.01,110.31,106.01,115.39,105.7,108.93,110.78,98.16,106.77,106.16,94.77,94.77,102.93,107.7,120.93,132.16
2000-06-01,130.26,106.41,120.32,117.11,115.43,124.91,108.4,115.89,118.03,103.04,107.63,108.85,97.08,97.69,106.1,110.23,123.68,133.16
2000-07-01,133.96,106.07,120.1,115.07,112.48,121.01,105.01,109.73,115.07,102.42,111.71,112.17,99.98,101.81,113.69,116.59,127.11,134.57
2000-08-01,127.24,113.51,113.97,106.95,108.32,118.7,103.13,105.58,108.02,97.34,110.76,110.3,95.35,99.47,110.61,116.87,128.0,131.66
2000-09-01,131.11,110.76,118.96,113.95,114.55,123.37,111.82,113.04,117.9,108.17,114.55,114.86,103.16,103.31,113.79,120.48,128.99,132.94
2000-10-01,129.36,113.17,121.04,114.68,111.51,123.31,106.82,110.45,112.26,103.79,114.68,115.14,104.09,103.34,115.29,121.34,132.23,132.99
2000-11-01,133.36,117.25,122.97,121.02,115.3,121.32,110.78,111.53,112.44,106.26,113.04,113.04,99.19,101.9,111.38,120.11,131.7,132.3
2000-12-01,127.53,115.06,114.76,116.41,110.25,113.86,105.14,105.14,111.0,101.09,111.15,111.15,98.08,99.44,107.7,114.91,131.43,132.03
