,"St. John's, Newfoundland and Labrador","Charlottetown, Prince Edward Island","Halifax, Nova Scotia","Saint John, New Brunswick","Québec, Quebec","Montréal, Quebec","Ottawa, Ontario","Toronto, Ontario","Thunder Bay, Ontario","Winnipeg, Manitoba","Regina, Saskatchewan","Saskatoon, Saskatchewan","Edmonton, Alberta","Calgary, Alberta","Vancouver, British Columbia","Victoria, British Columbia","Whitehorse, Yukon","Yellowknife, Northwest Territories"
2011-07-01,158.71,147.16,155.67,151.29,160.54,161.88,154.58,157.62,158.11,140.11,150.44,149.23,132.81,138.28,162.61,151.29,161.51,168.93
2011-08-01,159.41,147.03,153.83,151.89,157.1,161.47,152.37,154.56,161.59,141.21,148.85,148.49,132.6,136.72,161.59,149.22,157.95,168.51
2011-09-01,159.85,148.0,155.61,152.71,157.55,158.27,151.26,151.5,161.18,138.32,152.11,150.29,131.19,135.91,165.53,154.65,155.61,167.95
2011-10-01,156.79,144.62,152.33,149.68,157.63,157.99,148.59,149.68,157.87,139.92,147.63,146.54,131.12,134.85,167.15,151.12,155.1,167.39
2011-11-01,154.25,142.33,150.76,148.23,153.29,156.9,143.77,145.7,149.55,136.31,145.34,141.97,124.39,128.36,160.75,144.5,154.13,167.25
2011-12-01,151.49,140.15,146.54,145.22,150.77,154.38,141.84,142.44,142.56,128.09,142.32,135.21,119.77,125.44,152.7,135.81,151.85,167.53
2012-01-01,152.66,141.86,153.37,148.58,156.97,160.21,146.06,146.42,146.42,129.51,139.94,138.15,121.96,126.51,154.33,139.94,150.98,166.57
2012-02-01,159.98,147.38,158.66,153.26,159.74,164.66,148.82,151.58,151.94,130.34,139.1,138.62,124.7,128.78,155.42,137.3,151.1,166.7
2012-03-01,165.25,153.37,164.65,159.01,164.41,168.12,151.46,157.21,159.25,140.66,145.22,147.38,133.95,136.35,168.96,154.09,157.69,166.09
2012-04-01,170.2,160.28,170.56,164.82,168.53,171.52,156.1,162.07,166.86,147.25,151.44,151.68,139.96,142.47,170.44,156.22,162.55,166.02
2012-05-01,161.89,150.86,157.69,155.53,164.17,162.85,150.5,154.57,165.73,146.42,151.22,151.34,134.19,137.31,173.16,158.05,163.69,166.57
2012-06-01,154.84,144.62,150.03,148.83,156.88,159.04,143.18,147.98,162.53,146.54,151.11,151.35,134.88,138.25,170.7,156.4,163.49,166.98
2012-07-01,149.43,140.05,149.67,144.98,157.24,160.49,145.1,150.99,159.77,146.54,151.11,151.35,130.91,136.08,166.14,148.95,163.49,166.98
2012-08-01,156.95,146.66,155.88,150.37,164.02,165.81,149.29,153.96,158.99,145.94,150.49,150.73,134.93,138.4,164.62,151.09,162.82,166.29
2012-09-01,162.19,156.94,165.9,160.64,168.41,168.41,151.92,155.98,162.79,149.41,153.11,152.87,141.04,142.59,161.36,149.05,162.55,166.02
2012-10-01,159.89,156.31,162.63,157.74,167.16,166.68,148.8,150.59,164.06,149.99,154.52,154.88,136.16,140.33,162.75,150.23,162.15,165.61
2012-11-01,152.62,144.03,150.47,144.86,155.37,159.18,145.58,145.82,157.63,137.7,141.17,144.39,120.4,127.32,150.59,136.27,160.5,165.75
2012-12-01,149.88,143.19,147.49,143.79,149.88,154.66,141.52,143.91,153.22,130.17,130.17,131.85,122.17,122.05,145.94,135.79,156.45,165.88
2013-01-01,151.31,143.31,151.91,145.94,156.8,156.32,143.31,146.18,146.89,125.41,127.08,123.86,109.3,114.44,150.35,137.23,154.89,165.75
2013-02-01,159.45,151.75,163.01,155.42,165.02,169.29,152.1,155.07,151.51,135.27,139.18,139.42,126.97,131.47,163.13,146.41,151.98,164.67
2013-03-01,156.26,151.87,160.65,155.9,164.21,164.09,150.8,154.24,158.51,146.06,142.97,142.73,131.34,134.78,167.29,147.01,152.82,164.8
2013-04-01,151.3,154.87,154.16,150.82,160.23,159.52,146.89,150.23,159.16,146.3,139.62,138.91,126.04,132.6,163.09,150.23,152.37,165.48
2013-05-01,147.84,150.82,150.47,146.18,157.97,161.9,145.82,149.39,161.31,147.13,147.37,149.15,135.81,141.65,173.58,157.61,158.92,165.48
2013-06-01,150.45,153.54,153.54,148.55,157.82,163.88,150.81,152.24,166.14,160.2,155.92,154.85,143.8,151.29,170.78,160.67,175.77,165.07
2013-07-01,154.95,157.92,158.28,152.11,163.85,168.6,154.48,156.26,163.97,156.02,149.97,152.46,137.28,141.07,174.53,163.85,166.7,164.8
2013-08-01,156.61,161.82,159.93,154.83,165.02,166.33,154.0,155.54,161.82,152.34,146.17,146.17,134.79,136.69,171.78,161.11,166.21,164.67
2013-09-01,157.3,161.21,159.78,155.52,168.31,164.4,153.63,154.7,160.14,148.54,145.23,145.23,133.27,134.93,166.06,157.89,165.58,164.4
2013-10-01,148.07,151.5,149.61,146.41,154.11,156.48,146.77,147.83,156.48,137.88,138.95,137.53,126.51,132.31,156.83,148.9,165.72,164.53
2013-11-01,149.01,151.61,149.37,144.64,154.92,157.53,145.82,147.36,154.45,132.22,136.59,133.87,121.81,128.2,151.97,140.97,155.28,164.27
2013-12-01,152.77,153.36,154.07,147.7,156.78,160.67,148.29,150.06,152.89,126.25,140.16,136.62,124.48,127.55,147.82,137.92,151.83,163.74
2014-01-01,154.64,155.11,155.58,150.05,158.52,161.58,147.23,148.88,152.52,129.47,131.59,132.18,120.77,126.06,152.64,139.0,151.34,163.34
2014-02-01,157.54,158.83,159.3,153.32,157.19,160.94,150.86,153.08,153.08,130.93,139.02,138.43,126.12,131.28,154.26,140.31,154.61,162.81
2014-03-01,157.75,161.15,161.85,157.64,157.52,165.36,152.14,153.89,158.46,146.17,148.74,148.63,136.22,140.2,166.06,150.03,157.99,162.55
2014-04-01,158.99,160.62,158.64,156.77,161.09,167.85,155.26,157.36,166.33,147.91,149.43,152.23,137.66,143.84,171.58,158.87,156.07,161.9
2014-05-01,161.07,162.35,162.01,157.93,163.4,166.2,156.3,158.16,165.03,148.84,151.06,150.36,133.24,143.37,173.65,162.12,163.29,161.77
2014-06-01,160.8,161.27,160.57,153.48,163.59,168.36,159.64,163.24,168.12,149.88,154.07,153.25,140.36,146.51,176.95,161.27,163.13,161.39
2014-07-01,157.9,158.6,158.83,154.53,162.31,166.15,156.39,158.83,166.96,145.7,149.42,149.42,136.64,140.94,169.75,158.13,163.71,161.39
2014-08-01,153.83,155.57,153.83,147.91,156.61,161.84,148.72,153.25,162.07,142.91,145.47,146.51,133.97,139.31,166.71,152.32,156.85,161.26
2014-09-01,154.28,154.28,154.16,149.76,161.23,160.77,146.28,150.8,160.19,141.99,146.63,144.08,131.56,136.77,164.48,151.03,155.67,161.0
2014-10-01,148.94,150.21,151.25,147.2,152.88,154.5,139.8,143.27,156.58,133.78,140.49,140.15,127.18,135.52,152.3,139.22,153.69,160.74
2014-11-01,136.54,136.2,136.54,133.76,136.08,144.89,128.66,133.07,145.24,123.91,125.18,125.53,115.56,120.55,148.37,131.56,149.18,159.73
2014-12-01,122.48,121.78,122.6,121.9,128.29,134.55,113.66,120.51,130.49,106.92,110.76,109.59,98.1,108.43,130.96,125.96,138.04,142.57
2015-01-01,111.58,106.57,106.68,105.75,112.97,119.15,103.19,105.98,114.25,95.97,97.13,98.88,84.32,90.73,119.84,115.19,118.1,124.62
2015-02-01,123.99,116.33,116.21,110.87,117.72,130.03,114.01,117.72,123.41,104.14,108.55,109.83,95.66,102.05,136.06,119.81,113.08,127.94
2015-03-01,130.91,123.98,125.13,119.59,129.41,136.8,120.05,121.9,127.44,110.92,111.96,114.62,104.8,108.03,143.97,139.23,121.78,131.6
2015-04-01,126.36,121.84,125.32,122.54,129.02,136.2,119.41,121.84,123.46,108.52,110.61,112.0,108.17,110.38,143.15,137.01,126.71,131.92
2015-05-01,134.97,130.24,133.24,130.36,136.59,144.2,126.67,129.9,129.09,112.82,117.09,115.82,108.9,115.59,153.43,143.74,129.55,137.74
2015-06-01,141.56,136.39,137.54,134.78,138.23,149.26,132.83,135.7,136.51,123.87,128.92,127.89,119.96,127.54,155.24,145.7,135.24,148.11
2015-07-01,139.74,136.53,135.15,133.66,140.66,145.59,136.41,138.71,140.54,119.33,125.07,125.75,118.88,125.52,155.33,146.96,136.3,153.5
2015-08-01,130.45,130.45,126.79,125.3,132.29,137.33,126.79,129.54,148.11,124.61,129.65,133.32,123.35,129.77,149.71,142.95,143.18,153.84
2015-09-01,122.64,118.85,116.79,118.17,128.38,130.44,116.67,120.69,138.7,113.81,116.9,117.59,109.45,115.87,135.6,130.9,137.55,141.46
2015-10-01,118.21,114.77,112.6,111.79,118.78,128.06,112.48,115.46,135.85,118.67,118.78,119.24,112.25,120.04,133.56,124.51,137.22,145.7
2015-11-01,118.0,112.16,113.42,111.94,119.6,126.93,115.03,117.89,133.68,112.62,115.94,114.11,101.98,114.11,142.72,133.11,130.82,137.0
2015-12-01,112.08,111.51,110.82,110.93,116.99,124.66,109.79,114.82,124.2,99.04,101.21,100.18,93.21,98.58,140.55,130.26,115.74,128.55
2016-01-01,106.28,106.39,106.96,105.82,111.87,117.02,99.3,109.36,111.99,95.08,91.99,88.79,83.76,91.76,126.5,118.5,112.22,122.62
2016-02-01,102.67,99.23,98.66,99.46,103.12,112.28,97.4,102.78,99.69,85.5,82.98,84.7,72.22,84.12,121.21,112.28,103.92,110.45
2016-03-01,101.89,100.63,99.61,98.35,109.99,111.47,103.37,105.54,112.84,96.98,99.15,96.3,89.11,96.52,128.81,120.83,108.05,119.12
2016-04-01,115.63,113.8,114.26,110.27,115.85,124.63,113.69,116.54,118.02,102.87,100.47,102.98,95.35,102.98,130.66,120.64,113.69,123.49
2016-05-01,118.45,117.2,116.63,113.9,117.99,126.74,118.67,120.49,123.56,107.66,107.43,108.22,102.21,108.68,136.27,128.1,121.74,128.78
2016-06-01,142.98,118.62,120.09,118.85,121.23,125.53,118.85,120.21,139.92,127.69,124.29,122.13,116.02,119.64,137.77,130.18,137.77,139.24
2016-07-01,137.99,111.57,109.98,111.91,113.27,120.42,114.41,116.11,134.47,108.28,107.04,104.09,97.62,105.22,140.71,129.15,133.0,135.38
2016-08-01,139.13,109.22,108.65,110.12,114.66,122.59,112.5,114.54,130.29,107.63,109.67,109.67,101.29,109.11,135.62,127.57,131.31,133.92
2016-09-01,144.12,113.57,115.5,115.72,117.08,125.56,111.76,114.14,124.89,107.24,107.47,110.07,99.09,104.86,142.08,133.82,131.11,131.79
2016-10-01,147.51,119.18,118.84,118.28,119.74,130.69,117.03,118.95,122.11,111.96,109.59,110.71,106.2,107.67,144.8,134.87,130.8,133.4
2016-11-01,144.46,116.65,116.54,118.35,117.89,125.69,111.9,114.62,117.89,99.58,100.49,97.77,94.72,98.79,130.33,135.87,128.52,129.08
2016-12-01,146.6,118.66,119.67,118.99,119.67,132.18,115.28,117.98,116.85,103.33,102.88,106.37,101.08,106.94,135.9,128.68,126.21,128.68
2017-01-01,153.99,126.44,125.21,124.65,124.31,130.47,124.09,126.33,129.8,114.12,113.33,114.23,113.0,119.61,143.24,138.87,133.38,136.29
2017-02-01,146.6,118.67,117.1,119.34,119.34,126.74,118.11,120.91,125.17,108.01,104.76,105.55,102.85,105.21,140.88,131.12,134.37,132.58
2017-03-01,142.22,117.5,115.93,116.72,117.95,127.05,109.64,120.87,124.36,105.82,103.8,103.8,103.57,104.81,150.42,141.32,134.58,131.32
2017-04-01,149.84,123.53,125.54,124.65,128.79,139.43,129.46,129.91,133.27,113.89,115.01,114.34,116.36,121.29,155.44,144.24,133.83,132.93
2017-05-01,145.25,119.79,119.34,120.69,125.51,133.47,125.96,125.62,131.68,104.65,107.45,107.45,107.79,111.6,150.3,140.99,131.68,131.12
2017-06-01,127.31,118.67,115.75,117.88,120.46,127.87,119.23,120.35,127.87,102.63,103.41,102.52,102.52,108.01,145.92,139.64,127.53,130.0
2017-07-01,125.54,114.68,115.13,114.34,119.27,128.45,116.81,122.63,125.99,98.1,104.26,104.82,104.26,107.18,147.6,136.4,124.65,128.12
2017-08-01,129.83,119.44,119.0,119.67,126.59,132.18,116.76,125.7,125.81,100.67,107.15,107.04,107.93,110.95,153.86,142.68,123.69,128.38
2017-09-01,140.13,127.98,128.98,128.31,135.44,139.23,131.43,131.77,138.57,111.7,110.92,111.37,107.8,114.04,153.17,144.14,131.43,128.2
2017-10-01,133.57,120.1,118.76,119.65,123.88,132.9,127.89,127.89,133.34,110.97,110.42,110.19,109.64,113.31,152.38,141.69,125.89,127.45
2017-11-01,140.28,127.89,128.22,127.78,132.65,140.28,134.86,135.19,146.47,120.48,122.14,120.03,122.47,126.01,156.32,148.36,140.5,136.52
2017-12-01,130.44,123.26,123.59,124.14,126.02,135.75,133.32,133.76,140.39,113.97,115.19,114.53,113.64,117.95,151.67,141.5,137.63,135.31
2018-01-01,132.48,126.98,126.87,125.66,130.83,140.52,137.0,137.11,136.45,117.84,116.63,118.28,118.39,123.45,156.05,142.73,133.7,135.57
2018-02-01,133.83,126.91,125.37,125.15,131.09,140.1,131.42,135.81,134.82,114.49,113.73,113.73,114.27,121.53,158.78,148.23,133.39,135.04
2018-03-01,134.06,128.35,125.17,125.06,135.49,142.74,138.12,138.45,135.71,117.37,118.69,120.12,122.2,126.6,166.23,157.23,133.29,134.94
2018-04-01,143.73,135.5,136.26,134.84,144.49,151.3,146.58,146.69,148.55,132.86,128.26,129.02,134.4,137.36,170.17,161.5,143.62,141.42
2018-05-01,150.3,143.95,142.96,141.31,149.76,156.44,150.09,150.52,155.35,137.15,135.61,134.96,139.78,142.08,175.3,168.72,156.11,150.41
2018-06-01,147.01,142.31,137.38,137.6,144.17,152.92,140.34,147.34,153.91,137.16,133.88,133.99,136.18,139.13,168.91,164.31,158.62,155.11
2018-07-01,147.01,140.47,137.53,138.29,142.32,149.95,141.12,147.77,157.47,134.48,134.48,137.09,142.76,143.19,169.67,163.46,157.91,157.36
2018-08-01,144.18,138.08,134.93,137.65,142.65,150.49,138.63,145.37,158.1,128.4,132.1,133.73,137.32,141.13,163.55,157.23,157.67,158.43
2018-09-01,142.87,137.75,134.48,138.3,143.74,152.45,134.05,140.8,157.79,126.97,131.33,132.63,137.86,141.45,165.41,155.39,156.92,159.42
2018-10-01,142.44,135.17,133.11,137.01,138.43,142.99,128.22,134.63,154.49,120.84,130.39,132.89,130.07,131.8,168.5,161.01,157.1,158.51
2018-11-01,128.96,121.34,117.43,123.3,125.15,127.22,115.69,121.45,146.46,111.34,118.95,124.06,114.93,117.76,154.29,149.83,152.66,152.66
2018-12-01,119.01,112.29,108.38,114.24,117.93,122.05,108.16,114.46,135.07,103.61,105.45,110.01,103.06,105.34,150.26,143.75,135.5,139.73
2019-01-01,116.41,106.32,107.4,110.77,115.97,121.62,104.69,111.09,128.23,97.53,99.59,103.82,99.59,103.28,143.2,141.14,135.5,129.86
2019-02-01,122.34,107.95,111.63,112.6,115.95,122.88,103.95,110.44,126.23,105.46,110.11,109.25,107.3,110.33,145.38,137.05,135.1,130.12
2019-03-01,132.34,120.16,125.66,123.5,131.37,136.11,119.51,124.79,133.52,116.82,119.84,119.51,118.76,122.42,161.22,148.29,139.88,135.35
2019-04-01,141.4,135.17,137.1,139.68,140.33,146.13,135.17,136.14,150.64,134.42,136.78,137.32,127.76,131.62,179.76,169.23,148.17,144.52
2019-05-01,140.45,137.88,134.77,139.59,142.06,147.74,136.92,136.81,155.66,131.34,132.52,137.45,126.2,129.31,181.05,172.8,147.52,152.88
2019-06-01,128.87,124.58,118.9,127.8,131.01,137.77,127.69,127.47,149.99,121.26,118.68,130.26,107.64,111.07,159.1,157.06,147.63,148.49
2019-07-01,137.05,131.49,128.08,132.45,135.98,142.39,133.95,133.84,145.17,122.52,122.95,126.26,112.59,115.79,161.83,151.9,152.11,143.56
2019-08-01,131.81,124.66,121.99,128.18,126.69,133.63,125.83,126.58,142.82,115.04,116.43,118.14,106.71,109.17,158.3,145.38,152.64,140.57
2019-09-01,129.77,123.36,120.26,125.92,125.28,132.44,124.21,124.75,140.46,115.66,115.66,115.66,106.15,109.14,164.19,151.69,152.65,142.71
2019-10-01,129.18,122.04,120.33,125.88,122.78,131.74,122.78,124.6,139.3,118.2,118.09,117.14,104.67,107.01,168.62,160.62,152.31,142.18
2019-11-01,129.94,121.84,121.1,126.64,124.29,131.53,120.99,123.97,136.97,113.96,115.77,108.21,101.29,104.27,149.64,147.94,152.2,140.69
2019-12-01,129.36,120.66,119.17,125.64,123.52,131.06,120.02,123.1,135.72,109.62,115.14,113.76,102.09,105.06,144.85,140.5,151.43,139.76
2020-01-01,131.16,120.55,119.28,125.01,122.14,129.57,118.43,121.61,135.41,107.82,116.52,116.73,104.84,107.82,148.46,148.25,151.64,137.64
2020-02-01,127.37,117.62,113.91,120.06,120.16,127.26,114.86,117.62,133.51,108.61,111.37,113.49,102.15,104.9,154.6,151.74,151.0,135.21
2020-03-01,108.39,96.42,91.29,101.98,105.93,106.15,90.11,92.04,118.55,90.33,94.5,91.08,82.31,84.66,129.77,135.01,134.16,120.15
2020-04-01,87.36,79.08,72.96,78.87,87.14,91.87,84.13,84.99,91.22,72.74,77.04,70.49,67.05,71.13,103.9,106.8,108.42,101.75
2020-05-01,98.24,88.69,83.96,88.9,100.39,104.15,97.38,97.92,107.48,91.48,94.38,92.02,89.44,93.63,121.33,115.85,110.59,103.83
2020-06-01,109.59,100.97,95.64,98.73,110.55,112.47,105.87,106.4,119.07,101.71,102.99,102.78,97.99,101.29,135.48,131.22,122.8,116.62
2020-07-01,114.26,106.26,102.43,104.67,116.71,117.88,110.53,111.17,125.45,106.48,109.14,110.1,101.25,103.81,140.05,138.35,127.79,122.57
2020-08-01,113.64,105.97,100.86,103.2,115.35,116.41,110.02,110.66,123.76,104.16,107.68,108.64,98.2,103.84,138.46,136.22,127.7,124.08
2020-09-01,113.29,105.0,100.11,103.08,114.46,113.29,107.44,108.19,123.7,102.77,109.25,110.1,105.0,111.48,133.8,132.84,127.31,124.55
2020-10-01,116.88,105.54,99.71,102.57,107.13,111.69,106.07,106.71,122.92,107.13,103.63,108.08,97.49,110.73,129.59,128.85,127.05,127.16
2020-11-01,118.25,101.15,96.08,99.56,108.75,110.65,104.21,104.84,119.62,101.25,103.89,102.94,95.23,109.49,130.5,126.59,126.59,125.53
2020-12-01,123.35,107.01,101.74,104.16,113.02,114.6,108.8,109.22,120.82,100.89,105.22,105.43,99.84,107.43,132.94,126.83,126.41,125.35
2021-01-01,131.1,114.61,112.93,111.45,120.59,121.22,116.5,116.5,127.53,108.09,109.35,109.04,105.99,107.99,141.39,134.46,130.36,127.53
2021-02-01,137.1,120.86,120.96,117.71,126.94,128.4,123.37,123.79,131.34,114.46,115.93,115.62,114.25,116.66,148.01,144.23,133.23,130.29
2021-03-01,148.11,131.16,130.74,128.76,134.3,135.03,128.76,129.49,139.01,121.22,125.93,125.2,119.76,122.69,156.47,154.9,138.9,136.39
2021-04-01,146.84,131.24,130.1,130.83,133.84,133.64,130.41,130.93,144.04,127.6,133.01,131.56,124.69,128.54,158.28,154.23,145.39,141.12
2021-05-01,148.71,134.2,132.23,133.37,138.65,138.65,134.61,134.92,143.52,132.44,131.61,129.85,127.88,131.92,161.24,159.9,146.74,146.01
2021-06-01,149.83,135.26,133.51,134.54,139.19,140.95,135.68,137.02,144.67,131.34,131.23,130.72,129.79,134.64,166.47,160.37,149.73,147.87
2021-07-01,157.73,140.97,139.22,139.63,141.59,143.64,138.5,140.25,150.33,135.21,135.52,135.01,136.75,139.43,173.87,171.92,153.1,151.77
2021-08-01,155.31,139.77,137.11,139.36,143.04,144.37,138.75,140.28,149.99,134.76,134.76,134.25,135.27,138.24,169.32,166.76,158.07,153.16
2021-09-01,156.59,140.0,137.55,140.2,147.23,145.9,138.78,140.41,149.47,134.19,134.19,134.09,131.85,135.52,159.55,159.14,158.63,152.62
2021-10-01,162.2,145.7,144.18,144.89,152.48,153.5,145.29,147.12,155.62,142.97,143.37,143.07,140.03,142.56,164.43,162.91,157.85,152.48
2021-11-01,160.42,144.69,141.97,147.21,155.88,153.36,143.78,145.5,155.08,139.85,144.59,144.19,137.13,143.08,161.13,159.51,157.19,154.07
2021-12-01,152.54,135.34,131.42,140.37,150.63,149.12,136.75,138.46,144.59,131.42,131.52,130.42,131.32,140.27,158.07,153.44,156.76,152.34
2022-01-01,159.2,143.5,141.4,142.2,152.7,155.5,144.3,146.1,149.9,138.5,137.0,135.7,133.7,138.9,170.5,164.6,157.2,151.5
